id,product_text,retailer,category
1,UB SPANISH STYLE,Publix,grains & pasta
2,KKROGER TEA PPC,Kroger,beverages
3,POUND CAKE,Kroger,bakery
4,MARGHME FLD PEAS,Publix,frozen foods
5,KRO SMKD PORK LINK,Kroger,"meat, seafood, & poultry"
6,2 FOR 319,Kroger,not an item
7,PARTICIPTING ITEMS,Kroger,not an item
8,LAYS WAVY CHIPS PPC,Kroger,"snacks, cookies, & chips"
9,KRO FRUIIT BOWL,Kroger,canned goods & soups
10,RONZONI PENNE RIGA,Publix,grains & pasta
11,CHIICKEN DUNK,Kroger,frozen foods
12,PUBLIX SL MUSHRM,Publix,canned goods & soups
13,TROPSO,Kroger,beverages
14,BARLLA ROTINI PPC,Kroger,grains & pasta
15,NOXZEMA RAZOR,Kroger,beauty & grooming
16,KRO GARBANZO BEANSPC,Kroger,canned goods & soups
17,GLAC,Kroger,household essentials
18,DONUTS PPC,Kroger,bakery
19,PPRT YGRTBAR,Kroger,"snacks, cookies, & chips"
20,STR CHS,Publix,dairy
21,KRO PEPPRNI MINI,Kroger,frozen foods
22,ODUCE,Kroger,produce
23,MSHRM PRT CP WHL,Kroger,pets
24,R0T00 TOMATOES,Kroger,produce
25,REACH MINT FLOSS,Kroger,health & wellness
26,BER POUCHH,Kroger,baby & kids
27,GGG LS GREEN BEANS,Publix,canned goods & soups
28,CCHANGE,Safeway,not an item
29,RROSEMARY,Publix,produce
30,KKRO EGG SUB,Kroger,dairy
31,PER CKN BRSTTTNDRS,Publix,frozen foods
32,PED DENTASTIX SM,Kroger,pets
33,BBEEFFFOR STEW,Publix,canned goods & soups
34,BTYC BROWNIE,Kroger,baking
35,OREODDOUBLE STUFF,Publix,"snacks, cookies, & chips"
36,FUELPINTS THIS ORDER,Kroger,not an item
37,JD SAUSAGE SAGE,Kroger,"meat, seafood, & poultry"
38,OLD ORCHARD,Publix,beverages
39,TOUFAYAN ONION PTA,Publix,bakery
40,ARONI,Kroger,grains & pasta
41,SUN CHIP R0NI0N,Publix,"snacks, cookies, & chips"
42,THNKTHN BAR,Kroger,"snacks, cookies, & chips"
43,N CHKN PATTY,Kroger,frozen foods
44,LUVSO CATFOOD,Publix,pets
45,ZBAG YOGRTRAISINS,Publix,produce
46,5 FOR,Kroger,not an item
47,SBR HONEY MUSTARD,Kroger,"condiments, sauces & seasonings"
48,TAT TOT,Publix,frozen foods
49,ESAVINGS,Kroger,not an item
50,RD SUMMER FUEEL2X PTS,Kroger,not an item
51,KKROGER SAVINCS,Kroger,not an item
52,FOR THE FIRST 3 MONTHS,Kroger,not an item
53,WYMN FROZEN FRUIT,Kroger,frozen foods
54,PPUBLIX CC LG CURD,Publix,dairy
55,HRML PPRONT,Kroger,deli
56,T PIE,Kroger,bakery
57,PED ADLTCCMPLTNTR,Publix,pets
58,KRO HMS CUTLERY,Kroger,household essentials
59,PBX BNLS BRSTTTNDR,Kroger,"meat, seafood, & poultry"
60,CHEEZITWHL GRN,Publix,"snacks, cookies, & chips"
61,CONC JUICE PPC,Kroger,beverages
62,CKN BRST,Kroger,"meat, seafood, & poultry"
63,KIND VANBBERRY BR,Publix,bakery
64,BBARBER BROCCHSE,Publix,canned goods & soups
65,THESE POINFS EXPIRE,Kroger,not an item
66,LYCL OLIVES,Kroger,"condiments, sauces & seasonings"
67,SNOW CRABCCLUSTERS,Publix,frozen foods
68,WTT BBANANAS C,Kroger,produce
69,BBRHD SWS CHS,Kroger,dairy
70,TURKEYHILLOR SHELL,Kroger,deli
71,10X SENIOR DISC,Kroger,not an item
72,ISCOVER,Kroger,not an item
73,SC 10 SENIORDISC,Kroger,not an item
74,ACTIVIA FRTFUSION,Kroger,dairy
75,WT TOMATOES ROMA VLL,Kroger,produce
76,SAVE U,Kroger,not an item
77,US HISHWAY,Kroger,not an item
78,EEENTRY,Kroger,not an item
79,PARTICIPATING ITEMS C,Kroger,not an item
80,SC KKROER SWINGS,Publix,not an item
81,MAFRN PARMESAN CHSPC,Kroger,dairy
82,FUELPOINIS IHIS ORDER,Kroger,not an item
83,RRANA TORTELLONI,Kroger,grains & pasta
84,KKRO HTOG BUN PPC,Kroger,bakery
85,BBLUEMOON,Kroger,beer
86,PPUBLIX EGG NOG,Publix,dairy
87,MATOES PPC,Kroger,produce
88,MFG CPN SAVIN3S,Kroger,not an item
89,HRML PORK LN,Kroger,"meat, seafood, & poultry"
90,SAVELUP 0,Kroger,not an item
91,1 4100 MRCH RAMEN NOODLE,Kroger,canned goods & soups
92,PBX OR TKY BRST,Publix,"meat, seafood, & poultry"
93,WT CHERRIESRED,Kroger,produce
94,FRT SNK,Kroger,"snacks, cookies, & chips"
95,2 FOR 217,Publix,not an item
96,MNRI VINEGAR,Kroger,"condiments, sauces & seasonings"
97,CLIF BAR C,Kroger,"snacks, cookies, & chips"
98,DXIE CHILI,Kroger,canned goods & soups
99,BBE MAC N CHEESE FPPC,Kroger,frozen foods
100,HRSHY KISSES PPC,Kroger,candy & gum
101,SC 10R SENIOR DISC,Kroger,not an item
