+ACI-id+ACI-,+ACI-product+AF8-text+ACI-,+ACI-retailer+ACI-,+ACI-category+ACI-
14767,+ACI-HTGFCHK THG BI VPPC+ACI-,+ACI-Kroger+ACI-,
14768,+ACI-CMBOS SNACKS+ACI-,+ACI-Kroger+ACI-,
14769,+ACI-AVE CONDITIONER+ACI-,+ACI-Kroger+ACI-,
14770,+ACI-DEC FUEL POINIS REMAINING+ACI-,+ACI-Kroger+ACI-,
14771,+ACI-RRNIRICE MX+ACI-,+ACI-Kroger+ACI-,
14772,+ACI-ECPN STOUFFERS+ACI-,+ACI-Kroger+ACI-,
14773,+ACI-RAMN NOODLE C+ACI-,+ACI-Kroger+ACI-,
14774,+ACI-S BABY WIPES+ACI-,+ACI-Kroger+ACI-,
14775,+ACI-SSSS+ACI-,+ACI-Kroger+ACI-,
14776,+ACI-PARTICIPATNG ITEMS+ACI-,+ACI-Kroger+ACI-,
14777,+ACI-HRSHYMILK CHO BARPC+ACI-,+ACI-Kroger+ACI-,
14778,+ACI-RRD SUMMER FUL2X PTS+ACI-,+ACI-Kroger+ACI-,
14779,+ACI-C20 CCNTWTR+ACI-,+ACI-Kroger+ACI-,
14780,+ACI-1 3500 OSCM LUNCHABLE+ACI-,+ACI-Kroger+ACI-,
14781,+ACI-PFRM GOLDFISH CRKRPC+ACI-,+ACI-Kroger+ACI-,
14782,+ACI-DOLE FRUITCUP PPC+ACI-,+ACI-Kroger+ACI-,
14783,+ACI-2 FOR 469+ACI-,+ACI-Publix+ACI-,
14784,+ACI-RSTA+ACI-,+ACI-Kroger+ACI-,
14785,+ACI-KKRGER SAING+ACI-,+ACI-Kroger+ACI-,
14786,+ACI-PBX GENOASALAMI+ACI-,+ACI-Publix+ACI-,
14787,+ACI-ECPN PETERP+ACI-,+ACI-Kroger+ACI-,
14788,+ACI-KR CB HAVARTISLC+ACI-,+ACI-Publix+ACI-,
14789,+ACI-TN PRD SSG ROLLL+ACI-,+ACI-Kroger+ACI-,
14790,+ACI-PSST MX NUTS+ACI-,+ACI-Kroger+ACI-,
14791,+ACI-E PICANTE+ACI-,+ACI-Kroger+ACI-,
14792,+ACI-COUNTRY GRVY MIX+ACI-,+ACI-Publix+ACI-,
14793,+ACI-PENNERGTE+ACI-,+ACI-Kroger+ACI-,
14794,+ACI-PPBX CHKN WINGS+ACI-,+ACI-Publix+ACI-,
14795,+ACI-KNORR CHICKEN FLAV+ACI-,+ACI-Publix+ACI-,
14796,+ACI-PUBCCREAM OFCCHICK+ACI-,+ACI-Kroger+ACI-,
14797,+ACI-PPLBRY BROWNIE MIX+ACI-,+ACI-Kroger+ACI-,
14798,+ACI-BBTYC POTATOES PPC+ACI-,+ACI-Kroger+ACI-,
14799,+ACI-KRO FRZ CAUL PPC+ACI-,+ACI-Kroger+ACI-,
14800,+ACI-CIILANTRO+ACI-,+ACI-Safeway+ACI-,
14801,+ACI-K CEREAL+ACI-,+ACI-Kroger+ACI-,
14802,+ACI-OIDA FRZN FRIES+ACI-,+ACI-Publix+ACI-,
14803,+ACI-ROGRESSO SOUP PPC+ACI-,+ACI-Kroger+ACI-,
14804,+ACI-SELECT VEG+ACI-,+ACI-Kroger+ACI-,
14805,+ACI-ROGR SAINGS+ACI-,+ACI-Kroger+ACI-,
14806,+ACI-SST MSHROOM+ACI-,+ACI-Kroger+ACI-,
14807,+ACI-1 5F0R 500+ACI-,+ACI-Kroger+ACI-,
14808,+ACI-MICH MACCHS+ACI-,+ACI-Kroger+ACI-,
14809,+ACI-KERNEL SEASONS SSN+ACI-,+ACI-Publix+ACI-,
14810,+ACI-HTOT4 APLE SQUASHH+ACI-,+ACI-Publix+ACI-,
14811,+ACI-GR GRADUATES+ACI-,+ACI-Publix+ACI-,
14812,+ACI-GROUND CHICKEN+ACI-,+ACI-Kroger+ACI-,
14813,+ACI-C FZ MEAL+ACI-,+ACI-Kroger+ACI-,
14814,+ACI-SC KRO CHEESE 199+ACI-,+ACI-Kroger+ACI-,
14815,+ACI-RETURN VALUE+ACI-,+ACI-Kroger+ACI-,
14816,+ACI-KRO HT CH SN+ACI-,+ACI-Kroger+ACI-,
14817,+ACI-LLIMITTONE 50 FUELPTTBONUS PER 7+ACI-,+ACI-Kroger+ACI-,
14818,+ACI-1 22F0R 500+ACI-,+ACI-Publix+ACI-,
14819,+ACI-TMEAL+ACI-,+ACI-Publix+ACI-,
14820,+ACI-PREGO READY MEALS+ACI-,+ACI-Kroger+ACI-,
14821,+ACI-SUAVELOTION+ACI-,+ACI-Publix+ACI-,
14822,+ACI-ACANCE+ACI-,+ACI-Kroger+ACI-,
14823,+ACI-ENTM CAKES+ACI-,+ACI-Kroger+ACI-,
14824,+ACI-KRMA PNUTBTR+ACI-,+ACI-Kroger+ACI-,
14825,+ACI-OTIS CHO CHP MFFN+ACI-,+ACI-Kroger+ACI-,
14826,+ACI-ST PROTEIN BAR+ACI-,+ACI-Publix+ACI-,
14827,+ACI-ALL LNDRY DTRG PPC+ACI-,+ACI-Kroger+ACI-,
14828,+ACI-IMPR PWD SGR+ACI-,+ACI-Kroger+ACI-,
14829,+ACI-WIITHORLOW+ACI-,+ACI-Kroger+ACI-,
14830,+ACI-7 UPCCHERRY+ACI-,+ACI-Publix+ACI-,
14831,+ACI-LLIMIT ONE 50 FUELPTBNUS PER+ACI-,+ACI-Kroger+ACI-,
14832,+ACI-BERLYCL OLIVES+ACI-,+ACI-Kroger+ACI-,
14833,+ACI-DDM CUTCGREEN BEANS+ACI-,+ACI-Publix+ACI-,
14834,+ACI-SWEEEPSTAKES+ACI-,+ACI-Kroger+ACI-,
14835,+ACI-FFS+ACI-,+ACI-Kroger+ACI-,
14836,+ACI-PZA+ACI-,+ACI-Kroger+ACI-,
14837,+ACI-NSTL+ACI-,+ACI-Kroger+ACI-,
14838,+ACI-ST DISH SOAP+ACI-,+ACI-Kroger+ACI-,
14839,+ACI-KRO BLEACH PPC+ACI-,+ACI-Kroger+ACI-,
14840,+ACI-GM COCOA PUFFS PPC+ACI-,+ACI-Kroger+ACI-,
14841,+ACI-PGPR CHBBRST+ACI-,+ACI-Kroger+ACI-,
14842,+ACI-REAMER+ACI-,+ACI-Kroger+ACI-,
14843,+ACI-WT POTATOS SWTWHT+ACI-,+ACI-Kroger+ACI-,
14844,+ACI-PURINA CAT FOOD+ACI-,+ACI-Kroger+ACI-,
14845,+ACI-SMOKED TURKEY BRSTT+ACI-,+ACI-Kroger+ACI-,
14846,+ACI-PLMTCHEESE+ACI-,+ACI-Kroger+ACI-,
14847,+ACI-PRSLHRD SLM GNG+ACI-,+ACI-Kroger+ACI-,
14848,+ACI-CHWY PPRMNTMENTOS+ACI-,+ACI-Publix+ACI-,
